Timestamp, Field, Value
2015-11-20T16:03:24.588Z, NEOPI.218, "2"
2015-11-20T16:03:29.294Z, NEOPI.219, "2"
2015-11-20T16:03:33.431Z, NEOPI.220, "1"
2015-11-20T16:03:35.230Z, Balance.NEOPI.Page.10, "True"
2015-11-20T16:03:54.220Z, NEOPI.221, "2"
2015-11-20T16:04:05.665Z, NEOPI.222, "4"
2015-11-20T16:04:10.003Z, NEOPI.223, "3"
2015-11-20T16:04:11.572Z, NEOPI.224, "3"
2015-11-20T16:04:14.291Z, NEOPI.225, "3"
2015-11-20T16:04:18.612Z, NEOPI.226, "0"
2015-11-20T16:04:23.817Z, NEOPI.227, "2"
2015-11-20T16:04:30.341Z, NEOPI.228, "3"
2015-11-20T16:04:33.844Z, NEOPI.229, "3"
2015-11-20T16:04:37.031Z, NEOPI.230, "3"
2015-11-20T16:04:41.219Z, NEOPI.231, "2"
2015-11-20T16:04:46.341Z, NEOPI.232, "1"
2015-11-20T16:04:53.600Z, NEOPI.233, "4"
2015-11-20T16:05:03.643Z, NEOPI.234, "2"
2015-11-20T16:05:12.936Z, NEOPI.235, "2"
2015-11-20T16:05:16.607Z, NEOPI.236, "4"
2015-11-20T16:05:22.163Z, NEOPI.237, "3"
2015-11-20T16:05:26.968Z, NEOPI.238, "1"
2015-11-20T16:05:34.325Z, NEOPI.239, "3"
2015-11-20T16:05:39.230Z, NEOPI.240, "4"
2015-11-20T16:05:40.116Z, NEOPI.Page, "12"
2015-11-20T16:05:40.116Z, Balance.NEOPI.Page.11, "True"
2015-11-20T16:05:43.067Z, NEOPI.241, "4"
2015-11-20T16:06:45.435Z, RMET.Practise, "panicked"
2015-11-20T16:06:48.280Z, RMET.Definition, ""
2015-11-20T16:06:52.668Z, RMET.Face01, "playful"
2015-11-20T16:07:12.761Z, RMET.Face02, "annoyed"
2015-11-20T16:07:17.767Z, RMET.Face03, "desire"
2015-11-20T16:07:27.802Z, RMET.Face04, "insisting"
2015-11-20T16:07:49.930Z, RMET.Face05, "worried"
2015-11-20T16:07:59.324Z, RMET.Face06, "fantasizing"
2015-11-20T16:08:06.052Z, RMET.Face07, "friendly"
2015-11-20T16:08:15.817Z, RMET.Face08, "despondent"
2015-11-20T16:08:23.613Z, RMET.Face09, "preoccupied"
2015-11-20T16:08:33.794Z, RMET.Face10, "insisting"
2015-11-20T16:08:48.689Z, RMET.Face11, "regretful"
2015-11-20T16:09:08.253Z, RMET.Face12, "sceptical"
2015-11-20T16:09:24.172Z, RMET.Face13, "anticipating"
2015-11-20T16:09:53.130Z, RMET.Face14, "accusing"
2015-11-20T16:10:07.665Z, RMET.Face15, "contemplative"
2015-11-20T16:10:27.499Z, RMET.Face16, "thoughtful"
2015-11-20T16:10:38.086Z, RMET.Face17, "playful"
2015-11-20T16:11:08.607Z, RMET.Face18, "amused"
2015-11-20T16:11:45.395Z, RMET.Face19, "arrogant"
2015-11-20T16:11:51.155Z, RMET.Face20, "friendly"
2015-11-20T16:11:57.849Z, RMET.Face21, "fantasizing"
2015-11-20T16:12:02.742Z, RMET.Face22, "preoccupied"
2015-11-20T16:12:09.493Z, RMET.Face23, "defiant"
2015-11-20T16:12:16.502Z, RMET.Face24, "pensive"
2015-11-20T16:12:22.171Z, RMET.Face25, "interested"
2015-11-20T16:12:34.378Z, RMET.Face26, "alarmed"
2015-11-20T16:12:43.828Z, RMET.Face27, "cautious"
2015-11-20T16:13:30.809Z, RMET.Face28, "interested"
2015-11-20T16:13:42.430Z, RMET.Face29, "reflective"
2015-11-20T16:13:58.776Z, RMET.Face30, "flirtatious"
2015-11-20T16:14:14.718Z, RMET.Face31, "confident"
2015-11-20T16:14:29.163Z, RMET.Face32, "ashamed"
2015-11-20T16:14:44.519Z, RMET.Face33, "guilty"
2015-11-20T16:15:08.144Z, RMET.Face34, "distrustful"
2015-11-20T16:15:14.276Z, RMET.Face35, "nervous"
2015-11-20T16:15:16.187Z, RMET.Page, "36"
2015-11-20T16:15:17.954Z, RMET.Face36, "suspicious"
2015-11-20T16:15:26.672Z, Balance.RMET.BalanceUpdate, "True"
2015-11-20T16:16:13.679Z, SI.1.play_count, "1"
2015-11-20T16:16:44.860Z, SI.1.playing, "False"
2015-11-20T16:16:54.138Z, SI.1.initial_guess, "20"
2015-11-20T16:16:55.126Z, SI.1.initial_guess.timer, "21"
2015-11-20T16:17:00.538Z, SI.1.after_average, "20"
2015-11-20T16:17:02.143Z, SI.1.after_average.timer, "23"
2015-11-20T16:17:35.881Z, SI.2.initial_guess, "7"
2015-11-20T16:17:37.209Z, SI.2.initial_guess.timer, "3"
2015-11-20T16:17:55.257Z, SI.2.after_average.timer, "12"
2015-11-20T16:17:55.425Z, SI.2.after_average, "7"
2015-11-20T16:18:23.487Z, SI.3.initial_guess, "800"
2015-11-20T16:18:24.311Z, SI.3.initial_guess.timer, "4"
2015-11-20T16:18:30.478Z, SI.3.after_average, "700"
2015-11-20T16:18:31.322Z, SI.3.after_average.timer, "23"
2015-11-20T16:18:39.341Z, Balance.Value, "None"
2015-11-20T16:30:10.637Z, SI.4.initial_guess, "40"
2015-11-20T16:30:11.867Z, SI.4.initial_guess.timer, "11"
2015-11-20T16:30:16.877Z, SI.4.after_average, "70"
2015-11-20T16:30:19.891Z, SI.4.after_average.timer, "22"
